1,145554,4
1,239809,1
3,139715,9
6,18328,9
6,71230,8
6,141212,9
7,232032,8
8,67984,1
9,144161,7
9,150220,3
10,71728,4
11,91098,3
11,109366,6
13,147447,7
14,97393,1
14,103448,6
15,56958,5
16,111954,5
16,119255,9
16,176568,4
17,3870,3
17,49751,7
17,185318,2
19,154338,9
23,166225,9
24,211484,9
25,15938,8
25,160473,3
26,169169,4
28,40134,8
28,116559,3
30,115042,7
32,2295,2
32,222484,3
33,160029,1
34,84750,5
35,64494,6
36,207647,7
36,221552,8
37,17774,1
37,23338,6
38,149785,3
38,161652,3
39,228416,10
41,74654,5
42,53770,1
42,198270,4
43,14896,4
44,11057,7
44,53772,6
45,82482,5
45,222724,2
48,103821,1
50,145277,2
52,66245,10
52,98573,4
53,174116,6
56,211180,7
57,146345,1
58,181848,3
59,36259,1
61,200142,10
62,145003,7
64,60630,2
65,18569,9
66,179326,7
66,189600,7
66,194380,6
68,24051,5
69,7892,10
70,140381,8
70,184058,3
71,64230,1
71,69132,4
73,4100,5
73,148877,8
74,106597,9
75,234659,4
77,120524,4
78,75017,9
78,78638,3
78,113451,3
79,38920,6
83,197093,1
84,63337,6
84,178677,3
85,193311,5
87,237161,4
89,239680,6
91,189177,9
91,195991,7
92,91448,10
93,3519,1
93,132639,5
93,206133,8
93,224990,5
95,152749,2
96,17382,6
96,64692,3
97,190396,5
98,123236,10
100,19954,4
101,11055,3
101,135160,2
101,202216,3
103,91085,10
104,63214,1
105,213758,4
108,46129,10
108,56962,4
108,117475,2
110,201183,7
111,176598,1
112,106741,2
114,67987,3
114,244792,9
116,48188,6
116,98375,9
117,208588,7
118,167530,8
119,215733,6
123,40279,8
124,129132,3
124,215818,10
125,133454,10
125,178178,5
126,220986,10
128,57103,7
128,67775,8
128,139274,1
128,142242,3
130,14576,4
130,133382,2
133,50464,4
134,89174,10
138,9833,4
138,125274,1
139,213645,8
139,220574,1
142,212502,1
143,32993,4
144,244818,9
145,207733,1
145,249590,2
146,151665,8
146,248057,7
148,106769,8
151,178500,10
154,171491,6
154,236806,3
155,47235,7
157,86989,1
157,149092,4
158,47107,7
162,47248,7
162,239079,7
163,72808,3
164,155393,8
165,9680,8
165,11635,10
165,112598,1
165,121752,2
168,56159,8
168,78179,5
169,247931,6
171,123150,2
172,103653,7
173,71518,1
173,90788,5
176,82419,5
176,96943,7
177,181842,9
177,226943,6
178,40253,2
178,139308,10
179,12084,1
180,79593,7
182,150898,3
184,16083,6
184,139949,10
185,41179,7
185,226727,3
188,19184,3
188,192193,6
190,72352,4
190,100966,9
191,109943,2
191,117525,8
192,24945,1
193,13933,8
193,113666,8
194,77987,9
195,186657,6
195,194825,1
196,14798,6
196,68555,4
196,71925,10
197,200824,6
198,7200,1
200,185297,1
201,22655,10
203,203764,2
203,208927,6
205,24645,8
207,184680,1
208,99092,3
209,98498,10
209,227012,10
210,39190,1
210,51075,1
211,51357,8
213,80422,4
213,106899,2
215,37932,10
216,109298,3
217,57815,4
217,169297,1
219,13085,2
219,36306,9
220,126561,8
223,172593,4
223,177154,7
223,181082,8
225,13339,9
225,35322,9
225,60086,3
226,48934,8
226,132919,4
226,191359,1
226,238198,4
227,18143,5
229,157729,10
230,59701,7
230,183131,8
231,70163,5
231,246812,2
232,10378,2
232,116732,6
233,88515,4
233,148518,10
233,244784,4
234,136469,9
234,216472,3
235,69485,6
237,85032,6
237,123958,5
238,48295,9
238,192462,1
239,147800,5
239,151105,3
239,232255,3
240,59928,9
240,111893,7
242,136861,7
244,190436,10
245,38140,10
248,123175,6
248,152535,6
248,227718,6
251,206422,10
253,184302,2
254,188256,7
255,166796,2
255,185121,5
257,61177,6
258,77217,6
258,243154,10
259,141510,4
260,36495,5
261,62197,3
262,5525,9
262,142350,3
263,60692,7
264,208044,4
267,127382,2
269,150471,10
269,200710,2
271,216879,3
273,194777,7
275,124905,8
275,198677,2
277,88577,3
277,195804,10
277,208802,8
278,100246,1
280,46548,4
280,137366,7
281,108529,4
281,165257,8
282,216312,9
287,205348,6
288,56939,4
288,134258,7
289,134698,2
290,161306,4
291,133278,8
291,198479,6
292,220333,1
293,93392,6
294,24086,4
295,9852,3
296,24567,6
296,37296,9
296,121477,2
298,31693,2
298,55383,4
299,200531,9
300,46335,5
301,18855,2
302,41440,2
302,246884,8
303,73289,5
303,184209,3
305,162994,3
306,91776,6
309,7019,10
309,146650,2
312,129375,9
313,65098,6
314,19059,7
315,117750,3
316,24085,4
316,47642,2
316,161216,6
317,208193,9
319,143401,9
321,153390,9
322,100657,3
323,231311,10
324,31338,5
324,64779,7
324,101444,9
324,108823,7
325,74845,2
325,168170,6
325,186538,8
326,185604,2
327,5650,9
328,22259,9
328,128719,7
329,89660,4
330,155619,2
331,126871,9
332,95972,3
332,202061,1
334,44044,3
334,55269,2
334,136992,5
335,175029,9
335,200679,2
336,156566,1
336,170615,5
337,20875,4
338,239898,1
339,92116,2
339,92901,4
339,249694,1
340,20574,1
340,28684,2
341,18115,8
342,104727,10
342,111019,9
343,94964,2
343,139498,3
345,244235,9
346,3374,7
347,58745,7
347,168713,8
